job_title,job_company,job_location,job_summary
BigData Engineer,Systems Limited,Karachi,Master’s or Bachelor’s Degree in engineering science or computer science or a related field.Strong data modeling skills in RDBMS and NoSQL databases.
Software Engineer,GfK,Karachi,"Data pre/post-processing using Python, big data handling tools, and technologies.Bachelor or higher degree in Computer Science or related field."
Senior Software Development Engineer in Test,S&P Global,Islamabad,"Experience in developing test data by analysis of business flows, system integrations, data architectures, business data objects, business data rules and data…"
"Consultant / Senior Consultant, Oracle- Digital Transformati...",EY,Karachi,"A bachelor’s degree or equivalent in a relevant subject such as finance, accounting, computer science or engineering, SCM Certifications (like APICS)."
Senior React Native Developer,VisionX Technologies,Islamabad,"Experience working with remote data via REST and JSON.We develop cutting-edge software products integrating computer vision, 3D modeling, AR, VR, decision…"
Junior OnSite Analyst,GfK,Karachi,"Country Pakistan Job Family For over 80 years, GfK has been a reliable and trusted insight partner for the world’s biggest companies and leading brands who…"
Quality Assurance Lead,Abacus Global,Pakistan,Familiarity with SQL and other data interrogation techniques required.Ability to develop and use database queries to input test data and verify test results.
Required Oracle Applications DBA,Human Capital Solutions,Karachi,"Able to perform recovery of the database, data files, tables, indexes, etc.To Develop, Implement, maintain and Control Company’s Oracle Applications, Databases…"
PHP Developer,Jambro,Karachi,Integration of data storage solutions MySQL etc.We’re looking for an experienced PHP Developer who will be responsible for developing and maintaining the…
Lead Data Engineer,Teradata,Islamabad,"Design and develop code, scripts, and data pipelines that leverage structured and unstructured data.Strong knowledge of data modeling and mapping."
Marketplace Lead,Noon Academy,Lahore,Experience in analysing data to draw business-relevant conclusions and in data visualization techniques and tools.Solid experience in writing SQL queries.
Sales Engineer,qordata,Karachi,Have good knowledge of data retrieval from source systems and data to visual mapping.Analyzing complex data sets and identifying KPIs.
Senior Java Developer,92 Techno,Islamabad,"Must be able to design and maintain complex solutions involving high performance and data.Confers with users; studies the systems flow, data usage, and work…"
Automation Engineer II,S&P Global,Islamabad,Ability to write own SQL for finding and modification of test data.Work on problems of moderate scope where analysis of situations or data requires a review of…
Experienced ML/AI Engineer,92 Techno,Islamabad,"Applying ML techniques, such as data/text mining, text/document analysis, image/text/audio classification, speech recognition."
Senior Software Engineer,Executive Search Worldwide,Islamabad,"Must be able to design and maintain complex solutions involving high performance and data volume.Confers with users; studies the systems flow, data usage, and…"
Lead Full Stack Developer,S&P Global,Islamabad,"The team is responsible for the architecture, design, development, quality and maintenance of the next-generation financial data web platform."
Senior Cloud Engineer,S&P Global,Islamabad,The Container platform is built using latest technologies such as Docker Enterprise and Kubernetes and is hosted in our on-premises data centers as well as in…
Senior Vendor Cyber Risk Analyst,S&P Global,Islamabad,"This is an extremely important role, considering the fact that 63% of data breaches happen due to third parties."
Required Manager – Digital Technology,Human Capital Solutions,Karachi,"Ensuring information security policies are created and implemented for the ensuring protection and security of the digital transactions, data and infrastructure…"
Associate Cloud Software Engineer,Bentley Systems,Islamabad,You will also be instrumental in expanding Bentley’s microservice infrastructure using technologies such as Azure Service Fabric and Kubernetes.
Sr. Software Quality & Automation Engineer,Atlas Technology Services,Pakistan,5+ years of experience in Quality Assurance with strong expertise on Quality Automation; and a bachelor's degree in computer science or related field.
Software Engineer II,S&P Global,Islamabad,"Experience with debugging, logging, performance monitoring, data visualization, and data analytics.We integrate financial and industry data, research and news…"
DevOps Engineer,Bykea,Pakistan,"At least computer science or relevant background graduate is eligible.Strong Kubernetes, ansible and DockersSolid , data structures understanding, and…"
UI/UX Designer / Graphic Designer,Sapphire Consulting Services,Karachi,Thorough understanding of data and reports.Utilize data to define and support hypotheses.You will be responsible for highly usable and intuitive interface…
Lead Software Developer (.NET),S&P Global,Islamabad,"We integrate financial and industry data, research and news into tools that help track performance, generate alpha, identify investment ideas, understand…"
Python Developer,Executive Search Worldwide,Islamabad,Experience: 5+ years of experience in the relevant field.In depth knowledge of Mongo DB.Ability to covert high-level business and user requirements into…
Android Developer,Digital Dividend,Karachi,"Work with outside data sources and APIs.Design and build advanced applications for the Android platform.Collaborate with cross-functional teams to define,…"
